1. Do you believe global climate change is currently happening?,2. Do you believe climate change is primarily caused by human activity?,3. Do you believe climate change is currently negatively impacting the planet?,4. How serious of a threat do you believe climate change is to life on Earth?,5. Natural resources should be conserved for future generations.,6. Protecting the environment is more important than economic growth.,7. Humans have the right to use Earth's resources however they choose.,8. Environmental regulations often go too far.,9. Governments should take stronger action to address environmental problems.,10. Corporations are primarily responsible for environmental damage.,11. Individual lifestyle choices can significantly reduce environmental harm.,12. Would you support government regulations to reduce emissions?,13. A carbon tax would increase gasoline prices but fund renewable energy. Would you support this policy?,"14. If companies raise prices to comply with environmental regulations, who should bear the cost?",15. A coal power plant provides many jobs but causes pollution. What should happen?,16. How often do you try to reduce your personal environmental impact?,17. Would you be willing to pay more for environmentally sustainable products?,18. Which do you believe has the largest impact on climate change?,19. Do you believe technological innovation will solve current environmental problems?,20. Age range,21. Education level,22. Which best describes the community where you currently live?,23. Which best describes the community where you grew up?
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Close the plant gradually over time,Often,Yes,Individual lifestyle choices,Maybe,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Yes,Government policy,Maybe,Under 20,Some college,Urban,Rural
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,Maybe,Corporate practices,Maybe,20-30,Some college,Urban,Urban
Yes,No,No,Somewhat serious,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Agree,No,No,Businesses (through lower profits),Keep the plant open without new environmental regulations,Sometimes,No,Corporate practices,No,Under 20,Associateâ€™s or Bachelorâ€™s degree,Urban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Yes,Yes,Governments (through taxpayer-funded subsidies),Close the plant gradually over time,Sometimes,Maybe,Corporate practices,Yes,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Maybe,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,30-40,Some college,Urban,Suburban
Yes,Yes,Yes,Very serious,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Yes,Maybe,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Maybe,Government policy,Maybe,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Yes,No,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Maybe,Corporate practices,Maybe,20-30,Some college,Urban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,Maybe,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Maybe,Maybe,Consumers (through higher prices),Keep the plant open without new environmental regulations,Often,Maybe,Government policy,Maybe,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Government policy,Yes,20-30,Associateâ€™s or Bachelorâ€™s degree,Urban,Urban
Yes,Yes,Yes,Very serious,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Yes,Corporate practices,Maybe,Under 20,Some college,Suburban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,20-30,Associateâ€™s or Bachelorâ€™s degree,Suburban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Yes,Government policy,Maybe,20-30,Associateâ€™s or Bachelorâ€™s degree,Suburban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Yes,20-30,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,Maybe,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,No,Under 20,Some college,Urban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,Yes,20-30,Associateâ€™s or Bachelorâ€™s degree,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Individual lifestyle choices,Yes,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Not serious,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Consumers (through higher prices),Close the plant immediately,Often,Yes,Individual lifestyle choices,Yes,Under 20,High school or less,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Close the plant immediately,Sometimes,No,Individual lifestyle choices,Yes,20-30,Some college,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,No,No,Consumers (through higher prices),Keep the plant open without new environmental regulations,Often,No,Government policy,Yes,Under 20,Associateâ€™s or Bachelorâ€™s degree,Urban,Urban
Yes,Yes,Yes,Very serious,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Government policy,Maybe,Under 20,Some college,Urban,Rural
Yes,Yes,Yes,Very serious,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Yes,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Individual lifestyle choices,Maybe,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Agree,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Individual lifestyle choices,Maybe,Under 20,Associateâ€™s or Bachelorâ€™s degree,Urban,Urban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Often,Maybe,Corporate practices,Maybe,20-30,Associateâ€™s or Bachelorâ€™s degree,Suburban,Suburban
Yes,Yes,No,Not serious,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Yes,Individual lifestyle choices,Yes,Under 20,Graduate degree,Urban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,Yes,Individual lifestyle choices,Yes,Under 20,Some college,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Yes,Maybe,Consumers (through higher prices),Keep the plant open but require stricter environmental regulations,Never,No,Corporate practices,Yes,Under 20,Associateâ€™s or Bachelorâ€™s degree,Urban,Rural
Yes,Yes,Yes,Very serious,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,Yes,40-50,Some college,Rural,Suburban
Yes,Yes,Yes,Very serious,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Yes,Yes,Consumers (through higher prices),Close the plant gradually over time,Often,Yes,Corporate practices,Yes,40-50,Some college,Rural,Urban
Maybe,Maybe,Yes,Very serious,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Maybe,No,Governments (through taxpayer-funded subsidies),Keep the plant open without new environmental regulations,Never,No,Government policy,Yes,20-30,Graduate degree,Rural,Rural
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Maybe,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,20-30,Some college,Urban,Urban
Yes,Maybe,Yes,Somewhat serious,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Maybe,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Never,Maybe,Corporate practices,No,60+,High school or less,Suburban,Urban
Yes,Maybe,Yes,Somewhat serious,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Yes,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Never,No,Corporate practices,Yes,Under 20,Some college,Urban,Rural
Maybe,Maybe,Maybe,Somewhat serious,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Maybe,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Never,No,Natural processes,Maybe,60+,Some college,Suburban,Urban
Yes,Yes,Yes,Very serious,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Maybe,Corporate practices,Maybe,20-30,Associateâ€™s or Bachelorâ€™s degree,Urban,Urban
Yes,No,Maybe,Somewhat serious,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Maybe,No,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Never,No,Natural processes,Maybe,20-30,Some college,Rural,Rural
Yes,No,Yes,Somewhat serious,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,No,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Never,No,Corporate practices,Yes,20-30,Graduate degree,Urban,Rural
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Yes,Corporate practices,Maybe,20-30,Graduate degree,Rural,Rural
Yes,Yes,Yes,Very serious,Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Often,Yes,Corporate practices,Yes,20-30,Some college,Rural,Suburban
Maybe,Maybe,No,Not serious,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Maybe,No,Consumers (through higher prices),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Natural processes,Yes,20-30,Graduate degree,Rural,Rural
Yes,Maybe,Yes,Somewhat serious,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,No,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,No,Natural processes,Yes,20-30,Associateâ€™s or Bachelorâ€™s degree,Urban,Suburban
Maybe,Maybe,Yes,Somewhat serious,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,No,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Yes,20-30,Graduate degree,Suburban,Suburban
Yes,Yes,Yes,Very serious,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,No,50-60,Graduate degree,Rural,Rural
Maybe,No,Yes,Not serious,Agree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Maybe,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Natural processes,Maybe,Under 20,Some college,Suburban,Rural
Yes,No,No,Not serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,No,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,Yes,Corporate practices,No,20-30,Some college,Rural,Rural
Yes,Maybe,Yes,Somewhat serious,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Maybe,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,60+,Graduate degree,Rural,Rural
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Government policy,Maybe,20-30,Associateâ€™s or Bachelorâ€™s degree,Suburban,Rural
Maybe,Yes,No,Not serious,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Maybe,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,No,Government policy,Yes,20-30,Graduate degree,Urban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Close the plant immediately,Often,Yes,Corporate practices,Yes,50-60,Some college,Rural,Rural
Yes,Yes,Yes,Very serious,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,No,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Individual lifestyle choices,Maybe,Under 20,High school or less,Rural,Rural
Yes,Yes,Yes,Very serious,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Maybe,No,Consumers (through higher prices),Keep the plant open but require stricter environmental regulations,Often,Yes,Government policy,Yes,20-30,Associateâ€™s or Bachelorâ€™s degree,Rural,Rural
Yes,No,Yes,Very serious,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Yes,No,Businesses (through lower profits),Close the plant gradually over time,Often,Maybe,Corporate practices,,Under 20,High school or less,Rural,Rural
Yes,Yes,Yes,Very serious,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Natural processes,Maybe,40-50,Associateâ€™s or Bachelorâ€™s degree,Suburban,Suburban
Yes,Maybe,Yes,Somewhat serious,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,No,No,Businesses (through lower profits),Close the plant gradually over time,Never,Maybe,Natural processes,Maybe,40-50,Some college,Suburban,Suburban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Maybe,No,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,20-30,Graduate degree,Rural,Rural
Yes,Yes,Yes,Very serious,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Maybe,Maybe,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Yes,Corporate practices,Maybe,50-60,Associateâ€™s or Bachelorâ€™s degree,Suburban,Suburban
Yes,Yes,Yes,Somewhat serious,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Individual lifestyle choices,Maybe,50-60,High school or less,Rural,Rural
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Yes,Maybe,Businesses (through lower profits),Close the plant gradually over time,Often,Yes,Corporate practices,Maybe,Under 20,Some college,Suburban,Urban
Yes,Yes,Yes,Very serious,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Consumers (through higher prices),Close the plant immediately,Often,Yes,Individual lifestyle choices,Yes,Under 20,High school or less,Rural,Rural
Yes,Yes,Yes,Very serious,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Yes,Corporate practices,Yes,Under 20,High school or less,Rural,Rural
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Maybe,Maybe,Businesses (through lower profits),Close the plant immediately,Often,Maybe,Corporate practices,Maybe,20-30,High school or less,Urban,Urban
Maybe,Yes,Yes,Somewhat serious,Agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Maybe,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Yes,20-30,Some college,Suburban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,Yes,Corporate practices,No,20-30,High school or less,Urban,Suburban
Yes,Maybe,Yes,Very serious,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Yes,Yes,Governments (through taxpayer-funded subsidies),Close the plant gradually over time,Sometimes,Yes,Corporate practices,No,50-60,Associateâ€™s or Bachelorâ€™s degree,Urban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Yes,Government policy,Maybe,20-30,Associateâ€™s or Bachelorâ€™s degree,Rural,Rural
Yes,Maybe,Yes,Somewhat serious,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Maybe,No,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Maybe,Government policy,No,40-50,Graduate degree,Rural,Rural
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Yes,Individual lifestyle choices,Yes,20-30,High school or less,Suburban,Rural
Maybe,Maybe,Maybe,Somewhat serious,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Maybe,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Natural processes,Maybe,60+,Associateâ€™s or Bachelorâ€™s degree,Suburban,Urban
Yes,Maybe,Yes,Very serious,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Maybe,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,Maybe,Corporate practices,No,60+,Associateâ€™s or Bachelorâ€™s degree,Rural,Rural
Yes,Maybe,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Yes,Corporate practices,Yes,20-30,Associateâ€™s or Bachelorâ€™s degree,Suburban,Suburban
Yes,Maybe,Yes,Somewhat serious,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Yes,Maybe,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Maybe,Individual lifestyle choices,Maybe,60+,Graduate degree,Suburban,Suburban
Maybe,No,Maybe,Somewhat serious,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Maybe,No,Businesses (through lower profits),Keep the plant open without new environmental regulations,Sometimes,No,Natural processes,No,60+,Some college,Urban,Urban
No,No,No,Not serious,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Maybe,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,60+,Some college,Rural,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Yes,Yes,Businesses (through lower profits),Keep the plant open without new environmental regulations,Often,Yes,Corporate practices,Maybe,60+,Some college,Suburban,Suburban
Yes,No,No,Somewhat serious,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Maybe,No,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Maybe,Natural processes,Maybe,60+,Associateâ€™s or Bachelorâ€™s degree,Rural,Urban
Yes,Yes,Yes,Very serious,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,Yes,Corporate practices,Maybe,60+,Some college,Rural,Suburban
No,No,No,Not serious,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Yes,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,No,Corporate practices,No,60+,Some college,Suburban,Suburban
No,No,No,Somewhat serious,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Disagree,No,No,Businesses (through lower profits),Keep the plant open without new environmental regulations,Sometimes,No,There is no climate change,Maybe,60+,High school or less,Suburban,Suburban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,60+,Some college,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Yes,Government policy,Maybe,60+,High school or less,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Yes,Maybe,Governments (through taxpayer-funded subsidies),Close the plant gradually over time,Sometimes,Yes,Government policy,Yes,20-30,Associateâ€™s or Bachelorâ€™s degree,Urban,Suburban
Yes,No,Maybe,Somewhat serious,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Maybe,No,Consumers (through higher prices),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,Government policy,Yes,60+,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Yes,Government policy,Maybe,60+,Graduate degree,Rural,Urban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,Maybe,50-60,Associateâ€™s or Bachelorâ€™s degree,Suburban,Suburban
Maybe,Maybe,Maybe,Somewhat serious,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Maybe,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Never,No,Government policy,No,20-30,Graduate degree,Suburban,Suburban
Yes,No,Maybe,Somewhat serious,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,Maybe,Natural processes,Maybe,60+,Graduate degree,Suburban,Rural
Yes,Yes,Yes,Very serious,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,No,Corporate practices,Maybe,20-30,Some college,Urban,Rural
Yes,Yes,Yes,Very serious,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Maybe,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Maybe,Government policy,Yes,60+,High school or less,Suburban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Yes,Maybe,Businesses (through lower profits),Keep the plant open without new environmental regulations,Sometimes,Maybe,Corporate practices,Maybe,Under 20,High school or less,Suburban,Suburban
Yes,Yes,Yes,Very serious,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,No,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Individual lifestyle choices,Maybe,60+,High school or less,Suburban,Rural
Maybe,No,No,Not serious,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Maybe,No,Consumers (through higher prices),Keep the plant open but require stricter environmental regulations,Never,No,Natural processes,No,60+,Some college,Urban,Urban
Yes,Yes,Yes,Somewhat serious,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Maybe,Government policy,Maybe,60+,High school or less,Suburban,Urban
Yes,No,Yes,Very serious,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Yes,Maybe,Consumers (through higher prices),Keep the plant open but require stricter environmental regulations,Often,Maybe,Natural processes,Maybe,40-50,Graduate degree,Suburban,Suburban
Yes,Yes,Yes,Very serious,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Yes,Maybe,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,No,Under 20,High school or less,Rural,Rural
No,No,No,Not serious,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Disagree,No,No,Businesses (through lower profits),Keep the plant open without new environmental regulations,Sometimes,No,Natural processes,No,50-60,High school or less,Rural,Suburban
Yes,Yes,Yes,Somewhat serious,Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Close the plant gradually over time,Sometimes,Yes,Corporate practices,No,30-40,Associateâ€™s or Bachelorâ€™s degree,Suburban,Rural
Yes,Yes,Yes,Somewhat serious,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Yes,Yes,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Often,Yes,Government policy,No,60+,Some college,Rural,Urban
Yes,Yes,Maybe,Not serious,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Yes,Yes,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,No,Corporate practices,Maybe,20-30,Some college,Urban,Urban
Yes,Yes,Yes,Very serious,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Yes,Maybe,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Often,Maybe,Corporate practices,No,60+,High school or less,Suburban,Rural
No,No,No,Not serious,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,No,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,Maybe,There is no climate change,Maybe,60+,Graduate degree,Suburban,Suburban
Yes,Maybe,Yes,Somewhat serious,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Disagree,No,No,Governments (through taxpayer-funded subsidies),Keep the plant open but require stricter environmental regulations,Sometimes,Yes,Corporate practices,No,20-30,Associateâ€™s or Bachelorâ€™s degree,Rural,Rural
Yes,Yes,Yes,Very serious,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,No,No,Businesses (through lower profits),Keep the plant open but require stricter environmental regulations,Sometimes,No,Individual lifestyle choices,No,60+,High school or less,Rural,Urban
